symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
000002,万  科Ａ,2023,2024-03-29,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1219487237&orgId=gssz0000002&announcementTime=2024-03-29,2024-04-01,2024-07-02,-0.202459
000001,平安银行,2023,2024-03-15,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1219306493&orgId=gssz0000001&announcementTime=2024-03-15,2024-03-18,2024-06-18,0.022726
000004,*ST国华,2023,2024-04-30,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000004&announcementId=1219957415&orgId=gssz0000004&announcementTime=2024-04-30,2024-05-06,2024-07-30,0.167241
000006,深振业Ａ,2023,2024-04-27,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1219865454&orgId=gssz0000006&announcementTime=2024-04-27,2024-04-29,2024-07-26,0.033065
000007,全新好,2023,2024-04-29,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000007&announcementId=1219862517&orgId=gssz0000007&announcementTime=2024-04-29,2024-04-30,2024-07-30,0.174733
000008,神州高铁,2023,2024-04-16,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000008&announcementId=1219621173&orgId=gssz0000008&announcementTime=2024-04-16,2024-04-17,2024-07-16,-0.160491
000009,中国宝安,2023,2024-04-16,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000009&announcementId=1219623376&orgId=gssz0000009&announcementTime=2024-04-16,2024-04-17,2024-07-16,-0.187183
000010,美丽生态,2023,2024-04-27,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000010&announcementId=1219872059&orgId=gssz0000010&announcementTime=2024-04-27,2024-04-29,2024-07-26,-0.032083
000011,深物业A,2023,2024-03-30,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000011&announcementId=1219469533&orgId=gssz0000011&announcementTime=2024-03-30,2024-04-01,2024-07-02,0.002
000012,南  玻Ａ,2023,2024-04-26,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000012&announcementId=1219823600&orgId=gssz0000012&announcementTime=2024-04-26,2024-04-29,2024-07-26,-0.04422
000014,沙河股份,2023,2024-03-30,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1219460432&orgId=gssz0000014&announcementTime=2024-03-30,2024-04-01,2024-07-02,-0.191976
000016,深康佳Ａ,2023,2024-04-02,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000016&announcementId=1219494193&orgId=gssz0000016&announcementTime=2024-04-02,2024-04-03,2024-07-04,-0.382361
000017,深中华A,2023,2024-04-23,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000017&announcementId=1219737697&orgId=gssz0000017&announcementTime=2024-04-23,2024-04-24,2024-07-23,-0.187938
000019,深粮控股,2023,2024-04-16,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000019&announcementId=1219623707&orgId=gssz0000019&announcementTime=2024-04-16,2024-04-17,2024-07-16,0.002176
000020,深华发Ａ,2023,2024-04-23,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000020&announcementId=1219740643&orgId=gssz0000020&announcementTime=2024-04-23,2024-04-24,2024-07-23,-0.184432
000021,深科技,2023,2024-04-11,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000021&announcementId=1219568873&orgId=gssz0000021&announcementTime=2024-04-11,2024-04-12,2024-07-11,0.145893
000025,特  力Ａ,2023,2024-03-28,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000025&announcementId=1219425935&orgId=gssz0000025&announcementTime=2024-03-28,2024-03-29,2024-07-01,-0.084083
000026,飞亚达,2023,2024-03-14,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000026&announcementId=1219302471&orgId=gssz0000026&announcementTime=2024-03-14,2024-03-15,2024-06-17,-0.068986
000027,深圳能源,2023,2024-04-20,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000027&announcementId=1219696841&orgId=gssz0000027&announcementTime=2024-04-20,2024-04-22,2024-07-19,-0.048646
000028,国药一致,2023,2024-04-08,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000028&announcementId=1219517723&orgId=gssz0000028&announcementTime=2024-04-08,2024-04-09,2024-07-08,0.061638
000029,深深房Ａ,2023,2024-03-30,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000029&announcementId=1219466643&orgId=gssz0000029&announcementTime=2024-03-30,2024-04-01,2024-07-02,0.001972
000030,富奥股份,2023,2024-04-22,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000030&announcementId=1219702035&orgId=gssz0000030&announcementTime=2024-04-22,2024-04-23,2024-07-22,-0.068224
000031,大悦城,2023,2024-04-27,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1219863705&orgId=gssz0000031&announcementTime=2024-04-27,2024-04-29,2024-07-26,-0.072368
000032,深桑达Ａ,2023,2024-04-18,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000032&announcementId=1219652709&orgId=gssz0000032&announcementTime=2024-04-18,2024-04-19,2024-07-18,-0.17271
000034,神州数码,2023,2024-03-29,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000034&announcementId=1219447888&orgId=gssz0000034&announcementTime=2024-03-29,2024-04-01,2024-07-02,-0.219099
