symbol,report_year,file_name,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63,pca_64,pca_65,pca_66,pca_67,pca_68,pca_69,pca_70,pca_71,pca_72,pca_73,pca_74,pca_75,pca_76,pca_77,pca_78,pca_79,pca_80
000004,2021,000004_2021_mda.txt,1.2961053,-0.5831772,0.049177885,-0.26168078,-0.27086496,-0.07173926,0.002077341,-0.6119708,-0.34170318,0.3373952,0.3381619,0.38476837,0.17439103,-0.1444186,0.28420794,-0.2605615,-0.35545,0.011357665,0.2936893,-0.11393517,0.0006765425,0.109650016,-0.40234366,-0.24482673,-0.109337986,-0.1949371,-0.14460146,0.101362914,-0.069982424,0.09085882,-0.20019397,-0.1760183,0.020531416,0.16668802,0.18809035,-0.032580554,-0.027848702,-0.046204578,0.008899197,0.13541904,0.031958163,0.054130226,-0.12790596,0.11280781,-0.28726408,-0.18228465,-0.0851634,0.006308794,-0.02043818,-0.17773592,0.0056856275,-0.20906489,-0.1931682,0.03524232,-0.13030514,0.14731693,-0.09400308,0.016003102,-0.2181921,0.033136785,-0.03782299,-0.10787218,0.22076404,-0.14538491,0.1612323,0.09098679,0.05378416,-0.09496558,-0.22984302,0.082209826,0.111871004,0.108686045,-0.12871885,-0.24459797,0.19082166,0.08376813,0.047990866,0.03236176,-0.016912967,0.047701105
000006,2021,000006_2021_mda.txt,-0.27947867,-0.43902504,-0.657178,-1.0094889,-0.01926279,0.20062357,-0.07258463,0.20298201,0.2596557,0.14437866,-0.1871202,0.031609766,0.15087509,0.11117554,-0.17788051,0.2702899,0.1067076,0.03520173,0.07031989,-0.15621275,-0.45001024,0.15516943,0.19444454,-0.07709652,-0.09381014,0.040071353,0.2396324,-0.047684222,-0.028845146,-0.054662347,-0.06980544,0.0025787354,-0.29107362,0.15138918,-0.041492663,-0.19801465,0.10859637,-0.20875147,-0.11469513,0.0053753555,0.10060543,0.091074616,-0.09703478,0.0066840053,0.16735986,0.12312621,0.16470768,0.0560385,0.032016724,-0.006946504,-0.095331594,0.041721687,-0.008268323,0.044846416,0.004887402,0.073333055,0.040569663,-0.06746629,-0.054311275,0.085531,-0.072393,-0.038003393,0.010591567,-0.0137345195,0.028932929,-0.055867374,0.12621209,-0.13846797,-0.0055105686,0.023418605,0.06816316,0.026132148,-0.06315082,0.13671875,-0.09999847,0.034109116,-0.02684171,0.057504743,-0.07347047,0.03755462
000007,2021,000007_2021_mda.txt,0.71450007,-0.04149115,0.13072586,-0.13958794,-0.050503254,-0.45241934,0.04588771,-0.004653573,0.29727197,-0.010317087,-0.14293754,-0.037700154,-0.03505391,0.1274445,-0.5544429,0.37209094,0.4052169,-0.026282847,0.11475533,-0.063474596,0.116767585,-0.27029744,0.07452831,0.08614737,-0.07645565,-0.030264929,-0.12241393,0.3969219,0.12231724,-0.008267283,0.051633537,-0.04030782,0.11129111,0.05175054,-0.009523921,-0.3328505,0.12590812,-0.06443831,-0.04067722,-0.020198062,-0.1078912,-0.18015409,0.070519745,0.17647249,0.022501439,0.009029537,-0.13777842,0.11733723,-0.1709086,0.014961064,-0.0045018494,-0.0017590076,0.068437815,0.09966016,-0.011272609,0.017710596,-0.10155475,-0.18951228,0.07962608,-0.07139571,-0.11753672,-0.04316152,-0.026887506,-0.09820777,-0.10380596,-0.00015741587,-0.00224185,-0.05277574,-0.06486297,0.046155095,0.094747305,0.08564943,-0.01633054,0.09502751,0.065581046,0.09386623,0.04673957,-0.09683083,0.12657726,0.07730652
000008,2021,000008_2021_mda.txt,0.27042437,-0.5367615,0.022221088,-0.38066316,-0.09553957,0.1757496,0.07445192,-0.2733189,0.05614066,0.6213689,-0.53515965,0.1709171,-0.09872037,0.419908,0.015731916,0.20707178,0.22305879,-0.10161501,-0.03440535,0.37750053,0.0926127,0.21776485,-0.23153308,0.045408607,-0.23287725,-0.029870316,0.15351534,-0.06718376,0.055082306,0.09780556,0.0332475,0.116315305,0.047204494,-0.07006502,0.04654763,-0.11251542,0.38851854,0.2004868,-0.100092724,0.055205286,0.11342621,-0.120661095,0.19352657,-0.031570613,-0.19665475,-0.015229225,-0.24827914,0.19428444,0.043633744,-0.1066131,0.03005287,0.01463978,-0.031049348,-0.030627161,-0.025176853,0.024048448,0.030638576,0.035046726,0.020498037,-0.11511414,0.105967104,0.14974436,-0.11741635,-0.0044383407,-0.020408154,0.031388998,0.14865494,0.12280345,0.10416603,-0.059434116,-0.05786431,-0.032538075,0.22502089,0.043814182,0.1551306,0.21614385,0.1502396,-0.032940283,0.06386405,0.03385912
000009,2021,000009_2021_mda.txt,-0.8798119,-0.015778422,-0.10908228,-0.6029402,1.0330524,-0.013235152,0.18158412,-0.40710473,-0.5505407,-0.1802262,0.355667,0.15340182,-0.103428245,0.04581201,-0.042819813,0.15106034,0.017409924,-0.28022462,-0.030839264,-0.055881917,-0.4880105,-0.24524856,0.26437017,0.08299965,0.07025683,0.036842152,-0.028330863,0.22832504,-0.13318245,-0.014343619,-0.07753733,0.030400276,0.038052917,0.04926002,-0.041958787,-0.282124,0.11851257,0.014886919,-0.22508186,-0.122057796,0.20458609,0.044296086,-0.15758075,-0.06449348,0.0002182424,0.050373733,-0.056038003,0.024020195,-0.0036409646,0.045238197,0.12234169,-0.16748802,0.12369192,-0.108489394,0.039410807,-0.025478661,-0.027501464,-0.06629458,0.15229797,0.017668739,-0.05030024,-0.013504095,-0.0778718,-0.107916296,0.064125896,-0.09229672,0.04966119,-0.02731657,-0.029845953,-0.20017534,-0.011047125,0.07469918,-0.056752145,0.10704392,0.053366575,0.04428506,-0.06062483,0.011260316,-0.11022708,-0.0057638437
000010,2021,000010_2021_mda.txt,-0.6540626,0.42333305,0.29850453,-0.5597765,-0.20266294,0.06351179,-0.17631412,-0.33150542,0.13573241,0.4561081,-0.16946846,-0.058639117,0.35064793,0.27569532,-0.26095873,0.42881858,0.02837285,-0.24049205,-0.12525135,-0.1952948,-0.089838296,0.16758025,0.28911284,-0.04599154,0.0023118258,0.15989412,-0.0076836944,-0.34279996,0.16907279,0.19925651,-0.037494153,0.10452551,0.17881763,-0.1897068,0.08295918,-0.089163214,-0.22680627,0.0718659,0.14109276,0.09990421,-0.08374366,0.13135615,0.010213524,0.2259379,-0.12344742,-0.015160382,-0.0048498027,-0.08609295,0.11227971,-0.006934643,-0.07004714,0.038658604,0.15799221,-0.012668014,0.009467363,0.11276966,-0.08438003,0.084195286,-0.10500479,0.044170037,0.026510715,0.11181445,0.09461117,0.009517312,-0.085612595,0.01607716,-0.103409916,0.0709846,-0.049538374,0.08129507,0.0483464,0.01731835,0.013207972,0.13239646,0.14645776,0.12820268,0.09009686,0.123587295,-0.018160671,-0.037870616
000011,2021,000011_2021_mda.txt,1.0648677,0.3662125,1.0362675,-0.73276377,-0.38638043,-0.6288112,-0.42766875,0.38796657,0.15976048,-0.21158695,-0.6234397,-0.033775903,-0.1516133,-0.2472825,-0.27980077,0.96328807,-0.12132716,0.33496925,0.027348816,-0.8172639,-0.31354463,-0.17702961,-0.07799867,-0.05979806,-0.2646047,0.04672472,0.26752687,0.2264289,0.29716414,0.026325464,0.08644745,-0.12971574,-0.4329775,0.110804856,0.26288158,-0.057408392,-0.061574515,-0.16668077,-0.15049426,-0.16977635,0.10788852,-0.20765956,0.09407997,-0.33415726,0.08548978,0.15100294,0.09847815,-0.22354275,0.063259274,0.2319367,0.043970853,0.018183753,0.08942595,-0.061961472,-0.006867036,0.023551762,0.20734715,-0.1817331,-0.08804977,0.15165423,-0.058499187,-0.009346493,-0.05740595,-0.026866674,0.08774924,-0.19952989,-0.2000773,-0.27065682,-0.36243856,0.035552263,-0.16745198,-0.03573567,-0.18054318,-0.36198002,-0.07059369,-0.03907585,0.14798796,-0.034556538,-0.099449426,0.09010917
000012,2021,000012_2021_mda.txt,-0.119351745,-0.37624764,0.36220914,0.33076245,0.6475413,0.41561705,0.12134683,0.19482464,-0.2763642,0.09584737,-0.3820805,0.039633118,0.30477434,-0.2527207,-0.12041019,-0.12261358,-0.20831168,-0.1040656,0.054834187,-0.11581302,-0.30648,0.01224345,-0.14268401,-0.047034323,0.014015555,-0.11055441,-0.03656,0.02077064,0.2532822,-0.14567226,0.12504336,0.012652636,0.118398726,0.07354444,-0.06135284,0.08576989,-0.17781925,0.06473011,0.005817741,0.015579909,0.0072444975,0.09002167,0.040848017,0.13565165,0.060617834,-0.08192459,0.019847471,0.06375849,-0.11841446,-0.05253297,0.028303385,-0.046607897,0.075985685,0.012679666,-0.006633453,-0.12995854,-0.04392004,0.14973032,-0.054900765,-0.021812022,0.14884245,0.072071664,-0.10645452,-0.072603524,0.023751795,-0.17312896,0.088187575,-0.025736988,0.09919739,-0.06268358,-0.049494863,-0.18221311,-0.14804739,-0.034944832,-0.046787996,-0.032802105,-0.06402346,0.071443856,-0.008517891,0.0044002235
000014,2021,000014_2021_mda.txt,0.52030003,0.3304478,0.49204707,-1.0247015,0.068291664,-0.26084155,-0.14549762,-0.016203701,0.040022373,-0.19970179,-0.38025838,0.12714922,-0.13454562,0.010432363,-0.32997072,0.43309832,-0.112851575,0.24580097,-0.22552377,-0.4055249,-0.6387445,-0.007825136,0.13548175,-0.085793674,-0.20122457,0.0413004,0.32904077,0.17693499,-0.0027148873,-0.08773625,-0.027264148,-0.28531486,-0.17949715,0.11202848,0.040798925,-0.25333452,-0.024569374,-0.23309572,-0.0628266,-0.30098382,0.113479555,-0.18918297,-0.0601072,-0.16363564,0.186762,0.3335529,0.15613131,0.24711561,-0.122259796,0.1881358,0.066313475,0.06536852,0.009416677,0.15664148,0.10933729,0.059224546,-0.034894824,-0.1166217,-0.04332137,0.13747443,0.044431925,0.06506767,-0.031580746,-0.070871055,-0.002937138,0.053873897,-0.0059399903,0.05578947,-0.12204993,-0.016967714,-0.097715616,0.025659692,-0.13055599,-0.03036964,-0.09650079,-0.021630049,-0.03132806,0.08064377,0.14368513,-0.07463525
000016,2021,000016_2021_mda.txt,1.4138218,-0.37820184,0.19636655,0.11928242,0.29920793,-0.5549951,-0.12137818,0.43716216,-0.03248763,-0.056732774,-0.2153619,0.011641676,0.15078956,0.015458703,0.0032080263,0.061462343,0.101873964,-0.0900026,-0.14214545,0.17306545,-0.33571544,0.20557094,0.10594645,0.0023895502,0.08243412,-0.02906929,0.08351916,0.19203845,0.2989012,0.2398094,0.17798713,0.22262633,0.17691445,-0.058772326,-0.0057548955,0.008638591,-0.15644228,-0.30879012,0.13795038,-0.05135879,0.05298236,-0.0078730285,-0.36997348,0.06005758,0.023130983,0.013979077,-0.059674066,0.12246263,0.10905716,-0.1342889,0.1063056,0.0372407,-0.09659024,-0.0729931,-0.108823776,0.1112383,0.16459239,-0.20010728,-0.06897199,-0.14856045,-0.05510068,-0.008572228,0.073066294,0.04009849,-0.055906653,-0.07605797,-0.024035335,0.009460449,0.276026,0.16946262,0.1759789,0.029376622,0.085846454,0.1558091,0.06333754,-0.20747018,0.017021222,-0.016727075,0.18997525,-0.07914744
