symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
1,平安银行,2021,2022-03-10,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1212533413&orgId=gssz0000001&announcementTime=2022-03-10,2022-03-11,2022-06-13,-0.034027
2,万  科Ａ,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1212750450&orgId=gssz0000002&announcementTime=2022-03-31,2022-04-01,2022-07-04,0.066488
4,*ST国华,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000004&announcementId=1213274256&orgId=gssz0000004&announcementTime=2022-04-30 16:34:49,2022-05-06,2022-08-01,-0.225906
6,深振业Ａ,2021,2022-04-16,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1212943740&orgId=gssz0000006&announcementTime=2022-04-16,2022-04-18,2022-07-15,-0.12931
7,全新好,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000007&announcementId=1213265897&orgId=gssz0000007&announcementTime=2022-04-30,2022-05-05,2022-08-01,0.062769
8,神州高铁,2021,2022-04-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000008&announcementId=1213213656&orgId=gssz0000008&announcementTime=2022-04-29,2022-05-05,2022-07-29,0.135075
9,中国宝安,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000009&announcementId=1212752790&orgId=gssz0000009&announcementTime=2022-03-31,2022-04-01,2022-07-04,0.246834
10,美丽生态,2021,2022-04-28,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000010&announcementId=1213158839&orgId=gssz0000010&announcementTime=2022-04-28,2022-04-29,2022-07-28,0.343984
11,深物业A,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000011&announcementId=1212727684&orgId=gssz0000011&announcementTime=2022-03-30,2022-03-31,2022-07-01,0.086957
12,南  玻Ａ,2021,2022-04-25,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000012&announcementId=1213059469&orgId=gssz0000012&announcementTime=2022-04-25,2022-04-26,2022-07-25,0.103864
14,沙河股份,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1212745865&orgId=gssz0000014&announcementTime=2022-03-31,2022-04-01,2022-07-04,-0.182475
16,深康佳Ａ,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000016&announcementId=1212725368&orgId=gssz0000016&announcementTime=2022-03-30,2022-03-31,2022-07-01,0.189919
19,深粮控股,2021,2022-04-26,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000019&announcementId=1213109169&orgId=gssz0000019&announcementTime=2022-04-26,2022-04-27,2022-07-26,0.129256
